PRODUCT_NAME,PRICING,URL,BRAND,SCREEN_SIZE,DISPLAY_TYPE,RESOLUTION,OS
"LG - 65"" Class C3 Series OLED 4K UHD Smart webOS TV","$2,099.99",https://www.bestbuy.com/site/lg-65-class-c3-series-oled-4k-uhd-smart-webos-tv/6535929.p?skuId=6535929,LG,65,OLED,4K UHD,webOS
"LG - 77"" Class C3 Series OLED 4K UHD Smart webOS TV","$3,199.99",https://www.bestbuy.com/site/lg-77-class-c3-series-oled-4k-uhd-smart-webos-tv/6535930.p?skuId=6535930,LG,77,OLED,4K UHD,webOS
"TCL - 50"" Class 4-Series 4K UHD HDR Smart Roku TV",$269.99,https://www.bestbuy.com/site/tcl-50-class-4-series-4k-uhd-hdr-smart-roku-tv/6500475.p?skuId=6500475,TCL,50,QLED,4K UHD,Class
"Insignia™ - 43"" Class N10 Series LED Full HD TV",$129.99,https://www.bestbuy.com/site/insignia-43-class-n10-series-led-full-hd-tv/6319495.p?skuId=6319495,INSIGNIA™,43,LED,Full HD,HD
"Hisense - 65"" Class A6 Series LED 4K UHD Smart Google TV",$359.99,https://www.bestbuy.com/site/hisense-65-class-a6-series-led-4k-uhd-smart-google-tv/6502594.p?skuId=6502594,HISENSE,65,LED,4K UHD,Google
"VIZIO - 43"" Class V-Series 4K LED HDR Smart TV",$249.99,https://www.bestbuy.com/site/vizio-43-class-v-series-4k-led-hdr-smart-tv/6510144.p?skuId=6510144,VIZIO,43,LED,4K UHD,Class
"Samsung - 65"" Class Q60C QLED 4K Smart Tizen TV",$899.99,https://www.bestbuy.com/site/samsung-65-class-q60c-qled-4k-smart-tizen-tv/6537375.p?skuId=6537375,SAMSUNG,65,QLED,Smart Tizen,Tizen
"Sony - 77"" Class BRAVIA XR A80K 4K HDR OLED Google TV","$2,999.99",https://www.bestbuy.com/site/sony-77-class-bravia-xr-a80k-4k-hdr-oled-google-tv/6502608.p?skuId=6502608,SONY,77,XR,4K HDR,Google
"Samsung - 65"" Class Q80C QLED 4K Smart Tizen TV","$1,399.99",https://www.bestbuy.com/site/samsung-65-class-q80c-qled-4k-smart-tizen-tv/6537330.p?skuId=6537330,SAMSUNG,65,QLED,Smart Tizen,Tizen
"Samsung - 55"" Class S90C OLED Smart Tizen TV","$1,599.99",https://www.bestbuy.com/site/samsung-55-class-s90c-oled-smart-tizen-tv/6536968.p?skuId=6536968,SAMSUNG,55,OLED,Tizen TV,Tizen
"Sony - 43"" Class X85K 4K HDR LED Google TV",$599.99,https://www.bestbuy.com/site/sony-43-class-x85k-4k-hdr-led-google-tv/6501544.p?skuId=6501544,SONY,43,4K,LED Google,Google
"LG - 55"" Class C3 Series OLED 4K UHD Smart webOS TV","$1,499.99",https://www.bestbuy.com/site/lg-55-class-c3-series-oled-4k-uhd-smart-webos-tv/6535933.p?skuId=6535933,LG,55,OLED,4K UHD,webOS
"TCL - 32"" Class 3-Series Full HD LED Smart Roku TV",$159.99,https://www.bestbuy.com/site/tcl-32-class-3-series-full-hd-led-smart-roku-tv/6508875.p?skuId=6508875,TCL,32,OLED,FHD,Class
"Roku - 43"" Class Select Series 4K Smart RokuTV",$249.99,https://www.bestbuy.com/site/roku-43-class-select-series-4k-smart-rokutv/6536712.p?skuId=6536712,ROKU,43,4K,Smart RokuTV,Smart
"LG - 55"" Class B2 Series OLED 4K UHD Smart webOS TV",$999.99,https://www.bestbuy.com/site/lg-55-class-b2-series-oled-4k-uhd-smart-webos-tv/6501898.p?skuId=6501898,LG,55,OLED,4K UHD,webOS
"Roku - 50"" Class Select Series 4K Smart RokuTV",$299.99,https://www.bestbuy.com/site/roku-50-class-select-series-4k-smart-rokutv/6536715.p?skuId=6536715,ROKU,50,4K,Smart RokuTV,Smart
"Samsung - 75"" Class Q60C QLED 4K Smart Tizen TV","$1,299.99",https://www.bestbuy.com/site/samsung-75-class-q60c-qled-4k-smart-tizen-tv/6537370.p?skuId=6537370,SAMSUNG,75,QLED,Smart Tizen,Tizen
"Sony - 55"" Class X80K Series LED 4K HDR Smart Google TV",$649.99,https://www.bestbuy.com/site/sony-55-class-x80k-series-led-4k-hdr-smart-google-tv/6499709.p?skuId=6499709,SONY,55,LED,4K HDR,Google
"LG - 70"" Class UQ75 Series LED 4K UHD Smart webOS TV",$599.99,https://www.bestbuy.com/site/lg-70-class-uq75-series-led-4k-uhd-smart-webos-tv/6501936.p?skuId=6501936,LG,70,LED,4K UHD,webOS
"Sony - 65"" Class BRAVIA XR A95K 4K HDR OLED Google TV","$2,799.99",https://www.bestbuy.com/site/sony-65-class-bravia-xr-a95k-4k-hdr-oled-google-tv/6500891.p?skuId=6500891,SONY,65,XR,4K HDR,Google
"Roku - 55"" Class Select Series 4K Smart RokuTV",$349.99,https://www.bestbuy.com/site/roku-55-class-select-series-4k-smart-rokutv/6536725.p?skuId=6536725,ROKU,55,4K,Smart RokuTV,Smart
"Samsung - 65"" Class Q60B QLED 4K Smart Tizen TV",$799.99,https://www.bestbuy.com/site/samsung-65-class-q60b-qled-4k-smart-tizen-tv/6502240.p?skuId=6502240,SAMSUNG,65,QLED,Smart Tizen,Tizen
"LG - 65"" Class UR9000 Series LED 4K UHD Smart webOS TV",$649.99,https://www.bestbuy.com/site/lg-65-class-ur9000-series-led-4k-uhd-smart-webos-tv/6535915.p?skuId=6535915,LG,65,LED,4K UHD,webOS
"Hisense - 40"" Class A4 Series LED Full HD Smart Android TV",$159.99,https://www.bestbuy.com/site/hisense-40-class-a4-series-led-full-hd-smart-android-tv/6501780.p?skuId=6501780,HISENSE,40,LED,Full HD,Android
"LG - 65"" Class G2 Series OLED evo 4K UHD Smart webOS TV with Gallery Design","$1,999.99",https://www.bestbuy.com/site/lg-65-class-g2-series-oled-evo-4k-uhd-smart-webos-tv-with-gallery-design/6501495.p?skuId=6501495,LG,65,OLED,evo 4K,Gallery
"Toshiba - 32"" Class V35 Series LED HD Smart Fire TV",$119.99,https://www.bestbuy.com/site/toshiba-32-class-v35-series-led-hd-smart-fire-tv/6472252.p?skuId=6472252,TOSHIBA,32,LED,HD Smart,Fire
"Sony - 50"" Class X80K Series LED 4K HDR Smart Google TV",$549.99,https://www.bestbuy.com/site/sony-50-class-x80k-series-led-4k-hdr-smart-google-tv/6499713.p?skuId=6499713,SONY,50,LED,4K HDR,Google
"Samsung - 85"" Class Q60C QLED 4K Smart Tizen TV","$1,799.99",https://www.bestbuy.com/site/samsung-85-class-q60c-qled-4k-smart-tizen-tv/6537377.p?skuId=6537377,SAMSUNG,85,QLED,Smart Tizen,Tizen
"Insignia™ - 32"" Class N10 Series LED HD TV",$129.99,https://www.bestbuy.com/site/insignia-32-class-n10-series-led-hd-tv/6395127.p?skuId=6395127,INSIGNIA™,32,LED,HD TV,HD
"Sony - 75"" Class X85K 4K HDR LED Google TV","$1,299.99",https://www.bestbuy.com/site/sony-75-class-x85k-4k-hdr-led-google-tv/6501508.p?skuId=6501508,SONY,75,4K,LED Google,Google
"Sony - 65"" Class X75K 4K HDR LED Google TV",$699.99,https://www.bestbuy.com/site/sony-65-class-x75k-4k-hdr-led-google-tv/6505136.p?skuId=6505136,SONY,65,4K,LED Google,Google
